Transect	Treatment	Livestock density	Plot name	Replicate	Date First Harvested	Date First Reharvested	Date Second Reharvested	GrassNetReharvestBiomass1	DwarfShrubNetReharvestBiomass1	HerbNetReharvestBiomass1	ClimberNetReharvestBiomass1	GrassNetReharvestBiomass2	DwarfShrubNetReharvestBiomass2	HerbNetReharvestBiomass2	ClimberNetReharvestBiomass2
1	Control triangle	High	B1C1P5	5	"June21-25,2013"	"Nov. 21-25, 2013"	NA	17	0	0	0	NA	NA	NA	NA
1	Control	High	B1Ex1Cp1P1	1	"June21-25,2013"	"Nov. 21-25, 2013"	NA	1.9	0	0	0	NA	NA	NA	NA
1	Control	High	B1Ex1Cp1P2	2	"June21-25,2013"	"Nov. 21-25, 2013"	NA	20.6	0	0	0	NA	NA	NA	NA
1	Control	High	B1Ex1Cp1P3	3	"June21-25,2013"	"Nov. 21-25, 2013"	NA	13.5	0	0	0	NA	NA	NA	NA
1	Control	High	B1Ex1Cp1P4	4	"June21-25,2013"	"Nov. 21-25, 2013"	NA	26.6	0	0	0	NA	NA	NA	NA
1	Control	High	B1Ex1Cp1P5	5	"June21-25,2013"	"Nov. 21-25, 2013"	NA	3.2	0	0	0	NA	NA	NA	NA
1	Exclosure	Medium	B1Ex2P1	1	"June21-25,2013"	"Nov. 21-25, 2013"	NA	71.7	0	0	0	NA	NA	NA	NA
1	Exclosure	Medium	B1Ex2P2	2	"June21-25,2013"	"Nov. 21-25, 2013"	NA	23.6	8.4	9.4	20.8	NA	NA	NA	NA
1	Exclosure	Medium	B1Ex2P3	3	"June21-25,2013"	"Nov. 21-25, 2013"	NA	62	15.9	0	0	NA	NA	NA	NA
1	Exclosure	Medium	B1Ex2P4	4	"June21-25,2013"	"Nov. 21-25, 2013"	NA	47.9	8	0	0	NA	NA	NA	NA
1	Exclosure	Medium	B1Ex2P5	5	"June21-25,2013"	"Nov. 21-25, 2013"	NA	51.8	0	0	0	NA	NA	NA	NA
1	Control	Medium	B1Ex2Cp1P1	1	"June21-25,2013"	"Nov. 21-25, 2013"	NA	26.7	0	0	0	NA	NA	NA	NA
1	Control	Medium	B1Ex2Cp1P2	2	"June21-25,2013"	"Nov. 21-25, 2013"	NA	92.4	8.3	11.6	0	NA	NA	NA	NA
1	Control	Medium	B1Ex2Cp1P3	3	"June21-25,2013"	"Nov. 21-25, 2013"	NA	62.6	0	0	0	NA	NA	NA	NA
1	Control	Medium	B1Ex2Cp1P4	4	"June21-25,2013"	"Nov. 21-25, 2013"	NA	77.7	7.4	3.3	0	NA	NA	NA	NA
1	Control	Medium	B1Ex2Cp1P5	5	"June21-25,2013"	"Nov. 21-25, 2013"	NA	24.3	0	0	25.4	NA	NA	NA	NA
2	Exclosure	High	B2Ex1P1	1	"June21-25,2013"	"Nov. 21-25, 2013"	NA	30.6	7.4	1.8	0	NA	NA	NA	NA
2	Exclosure	High	B2Ex1P2	2	"June21-25,2013"	"Nov. 21-25, 2013"	NA	16.1	0	4.8	0	NA	NA	NA	NA
2	Exclosure	High	B2Ex1P3	3	"June21-25,2013"	"Nov. 21-25, 2013"	NA	54.8	10.7	4.3	0	NA	NA	NA	NA
2	Exclosure	High	B2Ex1P4	4	"June21-25,2013"	"Nov. 21-25, 2013"	NA	64.9	0	0.8	0	NA	NA	NA	NA
2	Exclosure	High	B2Ex1P5	5	"June21-25,2013"	"Nov. 21-25, 2013"	NA	62.5	0	0	0	NA	NA	NA	NA
2	Rodent Exclosure	High	B2Ex1CEx01	6	"June21-25,2013"	"Nov. 21-25, 2013"	NA	45.3	12.6	0	0	NA	NA	NA	NA
2	Rodent Exclosure	High	B2Ex1CEx02	7	"June21-25,2013"	"Nov. 21-25, 2013"	NA	90	0	13	12.7	NA	NA	NA	NA
